Id,Label,Type,genre,year,language,topic_id,label_thema,nb_auteurs
"Gruzinski, Serge_2025-11-19T21:24:06","Gruzinski, Serge",author,male,,,,,
"Rouveret, Agnès_2025-11-19T21:24:06","Rouveret, Agnès",author,female,,,,,
"Holland, Maurice J._2025-11-19T21:26:25","Holland, Maurice J.",author,male,,,,,
"Harding, Alan_2025-11-19T21:23:33","Harding, Alan",author,male,,,,,
"Lamm, Kristina_2025-11-19T21:27:46","Lamm, Kristina",author,female,,,,,
"Lundström, Agneta_2025-11-19T21:27:46","Lundström, Agneta",author,female,,,,,
"Reichstein, Hans_2025-11-19T21:27:46","Reichstein, Hans",author,male,,,,,
"Schenkel, Wolfgang_2025-11-19T21:27:46","Schenkel, Wolfgang",author,male,,,,,
"Steuer, Heiko_2025-11-19T21:21:30","Steuer, Heiko",author,male,,,,,
"Cigman, Gloria_2025-11-19T21:30:57","Cigman, Gloria",author,female,,,,,
"Rickard, Peter_2025-11-19T21:30:57","Rickard, Peter",author,male,,,,,
"Deyermond, Alan D._2025-11-19T21:22:21","Deyermond, Alan D.",author,male,,,,,
"KING, PETER_2025-11-19T21:23:36","KING, PETER",author,male,,,,,
"Blamires, David_2025-11-19T21:30:57","Blamires, David",author,male,,,,,
"Lapidge, Michael_2025-11-19T21:21:26","Lapidge, Michael",author,male,,,,,
"Brewer, Derek_2025-11-19T21:30:57","Brewer, Derek",author,male,,,,,
"Marti, Berthe M._2025-11-19T21:31:35","Marti, Berthe M.",author,female,,,,,
"Broise, Pierre_2025-11-19T21:31:35","Broise, Pierre",author,male,,,,,
"Polak, Emil J._2025-11-19T21:15:46","Polak, Emil J.",author,male,,,,,
"Bachrach, Bernard S._2025-11-19T21:16:14","Bachrach, Bernard S.",author,male,,,,,
"Guillou, André_2025-11-19T21:37:27","Guillou, André",author,male,,,,,
"Tchérémissinoff, Katia_2025-11-19T21:40:19","Tchérémissinoff, Katia",author,female,,,,,
Gloria Jean y'Edynak_2025-11-19T21:49:28,Gloria Jean y'Edynak,author,female,,,,,
"Bartel, Brad_2025-11-19T21:49:28","Bartel, Brad",author,male,,,,,
"Compton, Carl B._2025-11-19T21:49:28","Compton, Carl B.",author,male,,,,,
"Ehrich, Robert W._2025-11-19T21:49:28","Ehrich, Robert W.",author,male,,,,,
"Fredrickson, David A._2025-11-19T21:49:28","Fredrickson, David A.",author,male,,,,,
"Gallus, Alexander_2025-11-19T21:49:28","Gallus, Alexander",author,male,,,,,
"Klejn, Leo S._2025-11-19T21:49:28","Klejn, Leo S.",author,male,,,,,
"Laubscher, Matthias_2025-11-19T21:49:28","Laubscher, Matthias",author,male,,,,,
"Malinowski, Tadeusz_2025-11-19T21:49:28","Malinowski, Tadeusz",author,male,,,,,
"Newell, Raymond R._2025-11-19T21:49:28","Newell, Raymond R.",author,male,,,,,
"Poulianos, Ari N._2025-11-19T21:49:28","Poulianos, Ari N.",author,male,,,,,
"Stloukal, Milan_2025-11-19T21:49:28","Stloukal, Milan",author,male,,,,,
"Vehik, Susan C._2025-11-19T21:49:28","Vehik, Susan C.",author,female,,,,,
"Benfer, Robert A._2025-11-19T21:49:28","Benfer, Robert A.",author,male,,,,,
"Mägdefrau, Werner_2025-11-19T21:17:42","Mägdefrau, Werner",author,male,,,,,
"Langer, Erika_2025-11-19T21:17:42","Langer, Erika",author,female,,,,,
"Martin, R L_2025-11-19T21:26:18","Martin, R L",author,unknown,,,,,
"Clout, Hugh_2025-11-19T21:17:34","Clout, Hugh",author,male,,,,,
"Carlstein, T_2025-11-19T21:26:18","Carlstein, T",author,male,,,,,
"Short, J R_2025-11-19T21:26:18","Short, J R",author,unknown,,,,,
"Unwin, D J_2025-11-19T21:26:18",David Unwin,author,unknown,,,,,
"Plessis-Fraissard, M_2025-11-19T21:26:18","Plessis-Fraissard, M",author,unknown,,,,,
"Noddle, Barbara A._2025-11-19T21:27:40","Noddle, Barbara A.",author,female,,,,,
"Bramwell, David_2025-11-19T21:27:40","Bramwell, David",author,male,,,,,
"Jones, A._2025-11-19T21:27:40","Jones, A.",author,unknown,,,,,
"Nagler, A. M._2025-11-19T21:31:35","Nagler, A. M.",author,male,,,,,
"Božilov, Ivan_2025-11-19T21:40:24","Božilov, Ivan",author,male,,,,,
"BERZA, M._2025-11-19T21:50:07","BERZA, M.",author,male,,,,,
"PENELEA, G._2025-11-19T21:50:07","PENELEA, G.",author,female,,,,,
"IVANOVA, O._2025-11-19T21:50:07","IVANOVA, O.",author,female,,,,,
"LITAVRIN, G. G._2025-11-19T21:50:07","LITAVRIN, G. G.",author,male,,,,,
"PRIŽIMOVA, E._2025-11-19T21:50:07","PRIŽIMOVA, E.",author,unknown,,,,,
"Avenarius, Alexander_2025-11-19T21:18:40","Avenarius, Alexander",author,male,,,,,
"HÁSKOVÁ, J._2025-11-19T21:50:07","HÁSKOVÁ, J.",author,unknown,,,,,
"PLÁTKOVÁ, Z._2025-11-19T21:50:07","PLÁTKOVÁ, Z.",author,unknown,,,,,
"RATAJ, J._2025-11-19T21:50:07","RATAJ, J.",author,male,,,,,
"SPUNAR, P._2025-11-19T21:50:07","SPUNAR, P.",author,male,,,,,
"ZÁSTÉROVÁ, B._2025-11-19T21:50:07","ZÁSTÉROVÁ, B.",author,unknown,,,,,
"ČIRKOVIČ, Milan M._2025-11-19T21:50:07","ČIRKOVIČ, Milan M.",author,male,,,,,
"Ćirković, Sima M._2025-11-19T21:23:05","Ćirković, Sima M.",author,male,,,,,
"Prévost, M.-H._2025-11-19T21:50:17","Prévost, M.-H.",author,unknown,,,,,
"Anagnostou-Canas, Barbara_2025-11-19T21:50:29","Anagnostou-Canas, Barbara",author,female,,,,,
"Vélissaropoulos, Julie_2025-11-19T21:50:35","Vélissaropoulos, Julie",author,female,,,,,
"Rennie, J A_2025-11-19T21:21:32","Rennie, J A",author,unknown,,,,,
"Buchanan, W W_2025-11-19T21:21:27","Buchanan, W W",author,male,,,,,
"Klein, H S_2025-11-19T21:21:38","Klein, H S",author,unknown,,,,,
"Engerman, Stanley L._2025-11-19T21:24:13","Engerman, Stanley L.",author,male,,,,,
Great Britain_2025-11-19T21:23:33,Great Britain,author,unknown,,,,,
"Bridbury, A. R._2025-11-19T21:24:01","Bridbury, A. R.",author,male,,,,,
"Harvey, Barbara F._2025-11-19T21:26:26","Harvey, Barbara F.",author,female,,,,,
"Hall, R. A._2025-11-19T21:26:46","Hall, R. A.",author,male,,,,,
"Farrar, R. A._2025-11-19T21:27:45","Farrar, R. A.",author,unknown,,,,,
"Klingelhofer, A. G. S._2025-11-19T21:27:45","Klingelhofer, A. G. S.",author,unknown,,,,,
"Leigh, D._2025-11-19T21:27:45","Leigh, D.",author,unknown,,,,,
"Pessin, Mark_2025-11-19T21:28:48","Pessin, Mark",author,male,,,,,
"Brown, Elizabeth A. R._2025-11-19T21:39:48","Brown, Elizabeth A. R.",author,female,,,,,
"Clark, William W._2025-11-19T21:28:48","Clark, William W.",author,male,,,,,
"Gerson, Paula_2025-11-19T21:28:48","Gerson, Paula",author,female,,,,,
"Dirlam, Barbara R._2025-11-19T21:28:48","Dirlam, Barbara R.",author,female,,,,,
"Cothren, Michael_2025-11-19T21:28:48","Cothren, Michael",author,male,,,,,
"Papanicolaou, Linda Morey_2025-11-19T21:28:48","Papanicolaou, Linda Morey",author,female,,,,,
"Baker, Alan R.H._2025-11-19T21:24:34","Baker, Alan R.H.",author,male,,,,,
"Sawyer, Peter Hayes_2025-11-19T21:18:41","Sawyer, Peter Hayes",author,male,,,,,
"Smith, G. H._2025-11-19T21:36:12","Smith, G. H.",author,unknown,,,,,
"Dickinson, B._2025-11-19T21:36:12","Dickinson, B.",author,unknown,,,,,
"Hartley, B.R._2025-11-19T21:36:12","Hartley, B.R.",author,unknown,,,,,
"Austen, S._2025-11-19T21:36:12","Austen, S.",author,male,,,,,
"Hartley, K.F._2025-11-19T21:36:12","Hartley, K.F.",author,female,,,,,
"Wilkinson, T. J._2025-11-19T21:36:12","Wilkinson, T. J.",author,unknown,,,,,
"Balaam, N._2025-11-19T21:36:12","Balaam, N.",author,unknown,,,,,
"L'Orange, Hans Peter_2025-11-19T21:18:42","L'Orange, Hans Peter",author,male,,,,,
"Torp, Hjalmar_2025-11-19T21:18:42","Torp, Hjalmar",author,male,,,,,
"Helm, S_2025-11-19T21:21:40","Helm, S",author,unknown,,,,,
"Prydsö, U_2025-11-19T21:21:40","Prydsö, U",author,unknown,,,,,
"GRUPPER, SAMUEL MARTIN_2025-11-19T21:21:50","GRUPPER, SAMUEL MARTIN",author,male,,,,,
Indiana University_2025-11-19T21:21:50,Indiana University,author,unknown,,,,,
"Rösing, F.W._2025-11-19T21:24:29","Rösing, F.W.",author,unknown,,,,,
"Schwidetzky, I._2025-11-19T21:24:29","Schwidetzky, I.",author,female,,,,,
"Ragotzky, Hedda_2025-11-19T21:34:30","Ragotzky, Hedda",author,female,,,,,
"Weinmayer, Barbara_2025-11-19T21:34:30","Weinmayer, Barbara",author,female,,,,,
"Ellison, Margaret_2025-11-19T21:40:14","Ellison, Margaret",author,female,,,,,
"Finch, Margaret_2025-11-19T21:40:14","Finch, Margaret",author,female,,,,,
"Harbottle, Barbara_2025-11-19T21:40:14","Harbottle, Barbara",author,female,,,,,
"Contestin, Maurice_2025-11-19T21:40:29","Contestin, Maurice",author,male,,,,,
"Lombard, Olivier_2025-11-19T21:40:29","Lombard, Olivier",author,male,,,,,
"Antignac, Jean-Louis_2025-11-19T21:32:13","Antignac, Jean-Louis",author,male,,,,,
"Lombard, Roland_2025-11-19T21:32:13","Lombard, Roland",author,male,,,,,
"Humbert, Michel_2025-11-19T21:50:14","Humbert, Michel",author,male,,,,,
"Berkhout, Carl T._2025-11-19T21:31:56","Berkhout, Carl T.",author,male,,,,,
"Biddle, Martin_2025-11-19T21:24:03","Biddle, Martin",author,male,,,,,
"BROWN, T. J._2025-11-19T21:50:23","BROWN, T. J.",author,unknown,,,,,
"CLAYTON, PETER A._2025-11-19T21:50:23","CLAYTON, PETER A.",author,male,,,,,
"Keynes, Simon_2025-11-19T21:16:18","Keynes, Simon",author,male,,,,,
"DE LA BARRA ARROYO, LUIS_2025-11-19T21:21:53","DE LA BARRA ARROYO, LUIS",author,male,,,,,
University of Minnesota_2025-11-19T21:21:50,University of Minnesota,author,male,,,,,
"PITTS, BRENT ALAN_2025-11-19T21:21:54","PITTS, BRENT ALAN",author,male,,,,,
"Bourdillon, J._2025-11-19T21:23:21","Bourdillon, J.",author,male,,,,,
"Coy, Jennie P._2025-11-19T21:23:21","Coy, Jennie P.",author,female,,,,,
"Seaby, Wilfred A._2025-11-19T21:27:45","Seaby, Wilfred A.",author,male,,,,,
"Woodfield, Paul_2025-11-19T21:27:45","Woodfield, Paul",author,female,,,,,
"Daniel, Norman_2025-11-19T21:25:35","Daniel, Norman",author,male,,,,,
"Metlitzki, Dorothee_2025-11-19T21:30:56","Metlitzki, Dorothee",author,female,,,,,
"Rogers, J_2025-11-19T21:21:36","Rogers, J",author,unknown,,,,,
"Watt, Iain_2025-11-19T21:39:07",Ian Watt,author,male,,,,,
"Dieppe, P_2025-11-19T21:21:36","Dieppe, P",author,male,,,,,
"Wackenheim, A_2025-11-19T21:21:36","Wackenheim, A",author,male,,,,,
"Dietemann, J_2025-11-19T21:21:36","Dietemann, J",author,unknown,,,,,
"Babin, E_2025-11-19T21:21:36","Babin, E",author,unknown,,,,,
"Soulié, R_2025-11-19T21:21:36","Soulié, R",author,unknown,,,,,
"Fraser, Derek_2025-11-19T21:24:10","Fraser, Derek",author,male,,,,,
"Clark, Peter_2025-11-19T21:17:18","Clark, Peter",author,male,,,,,
"Macfarlane, Alan_2025-11-19T21:24:10","Macfarlane, Alan",author,male,,,,,
"Demaitre, Edmund_2025-11-19T21:24:31","Demaitre, Edmund",author,male,,,,,
"Demaitre, Ann_2025-11-19T21:24:31","Demaitre, Ann",author,female,,,,,
"Mowl, Timothy_2025-11-19T21:25:36","Mowl, Timothy",author,male,,,,,
"Earnshaw, Brian_2025-11-19T21:25:36","Earnshaw, Brian",author,male,,,,,
"Barbarelli, J. A._2025-11-19T21:28:45","Barbarelli, J. A.",author,unknown,,,,,
"Bartolomei, J. C._2025-11-19T21:28:45","Bartolomei, J. C.",author,unknown,,,,,
"Powell, Edward_2025-11-19T21:31:40","Powell, Edward",author,male,,,,,
"Given, James Buchanan_2025-11-19T21:31:40","Given, James Buchanan",author,male,,,,,
"Hanawalt, Barbara A._2025-11-19T21:23:35","Hanawalt, Barbara A.",author,female,,,,,
"Rosenwein, Barbara H._2025-11-19T21:18:42","Rosenwein, Barbara H.",author,female,,,,,
"Goff, Jacques Le_2025-11-19T21:31:40","Goff, Jacques Le",author,male,,,,,
"Goldhammer, Arthur_2025-11-19T21:31:40","Goldhammer, Arthur",author,male,,,,,
"Bralewska, Ewa_2025-11-19T21:27:48","Bralewska, Ewa",author,female,,,,,
"Penkala, Barbara_2025-11-19T21:27:48","Penkala, Barbara",author,female,,,,,
"Oliver, Roland_2025-11-19T21:46:32","Oliver, Roland",author,male,,,,,
"Atmore, Anthony_2025-11-19T21:46:32","Atmore, Anthony",author,male,,,,,
"כ""ץ, יעקב_2025-11-19T21:50:48","כ""ץ, יעקב",author,male,,,,,
"Katz, Jorge M._2025-11-19T21:25:17","Katz, Jorge M.",author,male,,,,,
"Cohn, R L_2025-11-19T21:21:35","Cohn, R L",author,unknown,,,,,
"Jensen, R A_2025-11-19T21:21:35","Jensen, R A",author,unknown,,,,,
"KINDER, TERRYL NANCY_2025-11-19T21:21:54","KINDER, TERRYL NANCY",author,female,,,,,
"Fleming, Andrew_2025-11-19T21:27:45","Fleming, Andrew",author,male,,,,,
"Ralph, Nicholas_2025-11-19T21:27:45","Ralph, Nicholas",author,male,,,,,
"Morris, A.G._2025-12-26T16:36:37","Morris, A.G.",author,unknown,,,,,
"Keen, E.N._2025-12-26T16:36:37","Keen, E.N.",author,unknown,,,,,
"Marquet, N._2025-11-19T21:29:51",Marquet (N.),author,unknown,,,,,
"Blondiaux, J._2025-11-19T21:21:00","Blondiaux, J.",author,unknown,,,,,
"Kurzawski, V._2025-11-19T21:29:51",Kurzawski (V.),author,unknown,,,,,
"Wilgus, D. K._2025-11-19T21:30:56","Wilgus, D. K.",author,unknown,,,,,
"Jonsson, Bengt R._2025-11-19T21:30:58","Jonsson, Bengt R.",author,male,,,,,
"Solheim, Svale_2025-11-19T21:30:56","Solheim, Svale",author,male,,,,,
"Danielson, Eva_2025-11-19T21:30:56","Danielson, Eva",author,female,,,,,
"Leyser, K. J._2025-11-19T21:31:41","Leyser, K. J.",author,male,,,,,
"Rodwell, Warwick_2025-11-19T21:35:31","Rodwell, Warwick",author,male,,,,,
"Rodwell, Kirsty_2025-11-19T21:35:31","Rodwell, Kirsty",author,female,,,,,
"Jacquat, Christiane_2025-11-19T21:40:54","Jacquat, Christiane",author,female,,,,,
"Pawlik, Barbara_2025-11-19T21:40:54","Pawlik, Barbara",author,female,,,,,
"Schoch, Werner_2025-11-19T21:40:54","Schoch, Werner",author,male,,,,,
"Whitwell, W. L._2025-11-19T21:49:10","Whitwell, W. L.",author,unknown,,,,,
"Winborne, Lee W._2025-11-19T21:49:10","Winborne, Lee W.",author,unknown,,,,,
"Stonesifer, Paul_2025-11-19T21:49:10","Stonesifer, Paul",author,male,,,,,
"Moorman, Warren L._2025-11-19T21:49:10","Moorman, Warren L.",author,male,,,,,
"Lewis, Frances McNulty Logan_2025-11-19T21:49:10","Lewis, Frances McNulty Logan",author,female,,,,,
"Leos, Edward_2025-11-19T21:49:10","Leos, Edward",author,male,,,,,
"Mann, Harold W._2025-11-19T21:49:10","Mann, Harold W.",author,male,,,,,
"Prillaman, Helen R._2025-11-19T21:49:10","Prillaman, Helen R.",author,female,,,,,
"Moomaw, Edward C._2025-11-19T21:49:10","Moomaw, Edward C.",author,male,,,,,
"McQuilkin, Dwight Eggleston_2025-11-19T21:49:10","McQuilkin, Dwight Eggleston",author,male,,,,,
"פונקנשטיין, עמוס_2025-11-19T21:50:48","פונקנשטיין, עמוס",author,male,,,,,
"המאירי, אביגדור_2025-11-19T21:50:48","המאירי, אביגדור",author,male,,,,,
"Funkenstein, Amos_2025-11-19T21:36:22","Funkenstein, Amos",author,male,,,,,
"Veillerot, Jean-Michel_2026-01-15T08:59:24","Veillerot, Jean-Michel",author,male,,,,,
"Legendre, Léonard_2026-01-15T08:59:25","Legendre, Léonard",author,male,,,,,
"Handler, J S_2025-11-19T21:21:31","Handler, J S",author,male,,,,,
"Corruccini, R S_2025-11-19T21:21:31","Corruccini, R S",author,unknown,,,,,
"Levin, Eve_2025-11-19T21:28:25","Levin, Eve",author,female,,,,,
"Lindgrén, Susanne_2025-11-19T21:22:01","Lindgrén, Susanne",author,female,,,,,
"Neumann, Jehuda_2025-11-19T21:22:01","Neumann, Jehuda",author,male,,,,,
"Lange, Johan_2025-11-19T21:18:39","Lange, Johan",author,male,,,,,
"Vedet, Ulla_2025-11-19T21:18:39","Vedet, Ulla",author,female,,,,,
Charles S. F. Burnett_2025-11-19T21:25:32,Charles S. F. Burnett,author,male,,,,,
"Stoklund, Marie_2025-11-19T21:25:32","Stoklund, Marie",author,female,,,,,
"Badrawi, Sami_2025-11-19T21:25:35","Badrawi, Sami",author,male,,,,,
"Kretzmann, Norman_2025-11-19T21:24:11","Kretzmann, Norman",author,male,,,,,
"Bursill-Hall, G. L._2025-11-19T21:30:56","Bursill-Hall, G. L.",author,male,,,,,
"Pinborg, Jan_2025-11-19T21:30:56","Pinborg, Jan",author,male,,,,,
"Kohlenberger, Helmut_2025-11-19T21:30:56","Kohlenberger, Helmut",author,male,,,,,
"Cardascia, Guillaume_2025-11-19T21:50:15","Cardascia, Guillaume",author,male,,,,,
"Golvin, A._2025-11-19T21:19:54","Golvin, A.",author,unknown,,,,,
"Lanfry, J._2025-11-19T21:19:54","Lanfry, J.",author,male,,,,,
"Février, Paul-Albert_2025-11-19T21:19:03","Février, Paul-Albert",author,male,,,,,
"Camps, Gabriel_2025-11-19T21:46:33","Camps, Gabriel",author,male,,,,,
"Svoljšak, Drago_2025-11-19T21:23:48","Svoljšak, Drago",author,male,,,,,
森  征一_2025-11-19T21:25:23,森  征一,author,unknown,,,,,
モリ  セイイチ_2025-11-19T21:25:23,モリ  セイイチ,author,unknown,,,,,
Mori  Seiichi_2025-11-19T21:25:23,Mori  Seiichi,author,male,,,,,
"Wixom, William D._2025-11-19T21:25:34","Wixom, William D.",author,male,,,,,
"Little, Charles T._2025-11-19T21:25:34","Little, Charles T.",author,male,,,,,
"Boehm, Barbara Drake_2025-11-19T21:21:45","Boehm, Barbara Drake",author,female,,,,,
"Ciach, Teresa Danuta_2025-11-19T21:27:48","Ciach, Teresa Danuta",author,female,,,,,
"Castillo Taberoa, Felix Eduardo_2025-11-19T21:28:46","Castillo Taberoa, Felix Eduardo",author,male,,,,,
"Moros Ghersi, Carlos Alberto_2025-11-19T21:28:46","Moros Ghersi, Carlos Alberto",author,male,,,,,
Sociedad Venezolana de Medicina Interna_2025-11-19T21:28:46,Sociedad Venezolana de Medicina Interna,author,unknown,,,,,
"Mesa, M.S._2025-11-27T19:23:42","Mesa, M.S.",author,unknown,,,,,
"Garralda, M.D._2025-11-27T19:23:42","Garralda, M.D.",author,female,,,,,
"Itzkowitz, Norman_2025-11-19T21:28:59","Itzkowitz, Norman",author,male,,,,,
"Lindner, Rudi Paul_2025-11-19T21:30:53","Lindner, Rudi Paul",author,male,,,,,
"ROBERTSHAW, ALAN_2025-11-19T21:17:39","ROBERTSHAW, ALAN",author,male,,,,,
"Sayce, Olive_2025-11-19T21:30:56","Sayce, Olive",author,female,,,,,
"Runnalls, Graham A._2025-11-19T21:24:14","Runnalls, Graham A.",author,male,,,,,
"Knight, Alan E._2025-11-19T21:24:07","Knight, Alan E.",author,male,,,,,
"Thompson, Alan_2025-11-19T21:32:04","Thompson, Alan",author,male,,,,,
"Grew, Francis_2025-11-19T21:32:04","Grew, Francis",author,male,,,,,
"Schofield, John_2025-11-19T21:32:04","Schofield, John",author,male,,,,,
"Seeman, Kenneth_2025-11-19T21:41:48","Seeman, Kenneth",author,male,,,,,
"Lauren, Kerstin_2025-11-19T21:41:48","Lauren, Kerstin",author,female,,,,,
"Hauptová, Z._2025-11-19T21:50:11","Hauptová, Z.",author,unknown,,,,,
"Havlíková, L._2025-11-19T21:50:11","Havlíková, L.",author,unknown,,,,,
"Judlová, M._2025-11-19T21:50:11","Judlová, M.",author,unknown,,,,,
"Krejčík, T._2025-11-19T21:50:11","Krejčík, T.",author,unknown,,,,,
"Krejčíková, J._2025-11-19T21:50:11","Krejčíková, J.",author,unknown,,,,,
"סילברמן, יוסף_2025-11-19T21:50:46","סילברמן, יוסף",author,male,,,,,
"Armistead, Samuel G._2025-11-19T21:50:46","Armistead, Samuel G.",author,male,,,,,
"Silverman, Joseph H._2025-11-19T21:50:46","Silverman, Joseph H.",author,male,,,,,
"Desanges, Jehan_2025-11-19T21:19:41","Desanges, Jehan",author,male,,,,,
"Lassère, Jean-Marie_2025-11-19T21:19:55","Lassère, Jean-Marie",author,male,,,,,
"Gast, M._2025-11-19T21:19:55","Gast, M.",author,male,,,,,
"Bourgeot, A._2025-11-19T21:20:02","Bourgeot, A.",author,male,,,,,
"Cotton, L. J._2025-11-19T21:22:15","Cotton, L. J.",author,unknown,,,,,
"Cotton, D. W. K._2025-11-19T21:22:15","Cotton, D. W. K.",author,unknown,,,,,
"Bonifay, Michel_2025-11-19T21:24:59","Bonifay, Michel",author,male,,,,,
"Conges, Gaëtan_2025-11-19T21:25:00","Conges, Gaëtan",author,male,,,,,
"Briggs, C. S._2025-11-19T21:27:49","Briggs, C. S.",author,male,,,,,
"Guido, Margaret_2025-11-19T21:27:49","Guido, Margaret",author,female,,,,,
"Walsh, Aidan_2025-11-19T21:27:49","Walsh, Aidan",author,male,,,,,
"Frank, Roberta_2025-11-19T21:26:25","Frank, Roberta",author,female,,,,,
"Clover, Carol J._2025-11-19T21:30:57","Clover, Carol J.",author,female,,,,,
"Shaw, Frank_2025-11-19T21:30:58","Shaw, Frank",author,male,,,,,
"Palmer, Nigel F._2025-11-19T21:30:37","Palmer, Nigel F.",author,male,,,,,
"Inman, R._2025-11-19T21:35:44","Inman, R.",author,unknown,,,,,
"Brown, D. R._2025-11-19T21:35:44",D R Brown,author,unknown,,,,,
"Goddard, R. E._2025-11-19T21:35:44","Goddard, R. E.",author,unknown,,,,,
"Spratt, D. A._2025-11-19T21:35:44","Spratt, D. A.",author,unknown,,,,,
"Budny, Mildred_2025-11-19T21:36:21","Budny, Mildred",author,female,,,,,
"Tweddle, Dominic_2025-11-19T21:36:21","Tweddle, Dominic",author,male,,,,,
"Zachrisson, Inger_2025-11-19T21:42:14","Zachrisson, Inger",author,female,,,,,
"Gray, T. J. M._2025-11-19T21:42:17","Gray, T. J. M.",author,unknown,,,,,
"קולקה, אוטו דב_2025-11-19T21:50:49","קולקה, אוטו דב",author,male,,,,,
"Kulka, O. D._2025-11-19T21:50:49","Kulka, O. D.",author,male,,,,,
"Déjeux, J._2025-11-19T21:19:43","Déjeux, J.",author,unknown,,,,,
"Pantuček, S._2025-11-19T21:19:43","Pantuček, S.",author,unknown,,,,,
"Oddy, William Andrew_2025-11-19T21:31:54","Oddy, William Andrew",author,male,,,,,
"La Niece, Susan_2025-11-19T21:20:52","La Niece, Susan",author,female,,,,,
"Hedlund, Monica_2025-11-19T21:17:10","Hedlund, Monica",author,female,,,,,
"Ottosson, P G_2025-11-19T21:21:35","Ottosson, P G",author,male,,,,,
"Wright, Steven Alan_2025-11-19T21:21:52","Wright, Steven Alan",author,male,,,,,
"Fanning, Thomas_2025-11-19T21:21:34","Fanning, Thomas",author,male,,,,,
"Kjærum, Poul_2025-11-19T21:21:34","Kjærum, Poul",author,male,,,,,
"Thomason, Sarah G._2025-11-19T21:24:29","Thomason, Sarah G.",author,female,,,,,
"Elgibali, Alaa_2025-11-19T21:24:29","Elgibali, Alaa",author,male,,,,,
"Gordon, Robert B._2025-11-19T21:25:33","Gordon, Robert B.",author,male,,,,,
"Reynolds, Terry S._2025-11-19T21:25:33","Reynolds, Terry S.",author,male,,,,,
"Holmes, Lore L._2025-11-19T21:25:36","Holmes, Lore L.",author,unknown,,,,,
